I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
40.3727,0.188982,474416,0.01,0.0327422,0.0810999,0.468094,4.75
20.8663,0.215666,365474,0.01,-0.0486299,-0.233055,1.03356,9.28333
10.1891,0.209657,306710,0.01,0.0628587,0.616922,2.05766,12.7083
5.28382,0.191565,279350,0.01,0.0487817,0.923228,3.62551,16.3083
5.24873,0.214423,279246,0.01,0.0651771,1.24177,4.08523,19.7917
40.3634,0.209657,474267,0.01,0.0153427,0.0380115,0.519424,23.4583
20.7804,0.204124,365136,0.01,-0.0234646,-0.112917,0.982292,27.2833
10.3929,0.2,306275,0.01,-0.219156,-2.10872,1.9244,30.8
5.15985,0.227921,278864,0.01,0.0852755,1.65267,4.4172,35.275
Slope, error, Intercept, error
5561.73,27.9124,249692,633.585
