Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,RF_Offset
4865,4870,4.008,0.25,2,6,47.25,47.1,47.8,-1
4871,4880,4.008,0.25,2,6,44.55,44.1,44.85,-1
4881,4890,4.008,0.25,2,6,44.55,44.1,44.85,-1
4891,4891,4.008,0.25,2,6,44.65,44.65,45.15,-1
4892,4912,4.008,0.25,2,6,44.65,44.65,45.15,-1
4913,4924,4.008,0.25,2,6,44.65,44.65,45.15,-1
4925,4944,4.008,0.25,2,6,44.65,44.65,45.15,-1
4945,4947,4.008,0.25,2,6,44.65,44.65,45.15,-1
4948,4959,4.008,0.25,2,6,44.65,44.65,45.15,-1
4965,4980,4.008,0.25,2,6,44.4,44.6,44.7,-1
4981,4998,4.008,0.25,2,6,44.4,44.6,44.7,-1
4999,5012,4.008,0.25,2,6,44.4,44.6,44.7,-1
5013,5039,4.008,0.25,2,6,44.45,44.55,44.6,-1
5040,5077,4.008,0.25,2,6,44.45,44.55,44.6,-1
5078,5123,4.008,0.25,2,6,44.45,44.55,44.6,-1
5124,5145,4.008,0.25,2,6,44.2,44.3,44.4,-1
5182,5220,4.008,0.25,2,6,44.2,44.3,44.4,-1
5221,5235,4.008,0.25,2,6,44.2,44.3,44.4,-1
5236,5250,4.008,0.25,2,6,44.2,44.3,44.4,-1
5251,5261,4.008,0.25,2,6,44.2,44.3,44.4,-1
5262,5263,4.008,0.25,2,6,44.2,44.3,44.4,-1
5264,5264,4.008,0.25,2,6,44.2,44.3,44.4,-1
5265,5270,4.008,0.25,2,6,44.2,44.3,44.4,-1
5271,5274,4.008,0.25,2,6,44.2,44.3,44.4,-1
5275,5294,4.008,0.25,2,6,44.2,44.3,44.4,-1
5304,5334,4.008,0.25,2,6,44.45,44.55,44.6,-1
6638,6708,2,0.25,2,6,47.15,47.15,48.65,-1
6709,6789,2,0.25,2,6,47.15,47.15,48.65,-1
6790,6857,2,0.25,2,6,47.15,47.15,48.65,-1
6885,6920,2,0.25,2,6,47.15,47.15,48.65,-1
6921,6947,2,0.25,2,6,47.15,47.15,48.65,-1
6948,6971,2,0.25,2,6,47.15,47.15,48.65,-1
6972,6978,2,0.25,2,6,47.15,47.15,48.65,-1
6979,7045,2,0.25,2,6,47.15,47.15,48.65,-1
7871,7881,4.008,0.25,2,6,43.45,43.3,43.7,-1
7882,7888,4.008,0.25,2,6,43.45,43.3,43.7,-1
7891,7908,4.008,0.25,2,6,43.5,43.5,43.65,-1
7909,7938,4.008,0.25,2,6,43.5,43.5,43.65,-1
7978,7989,4.008,0.25,2,6,43.84,43.75,44,2
7990,8002,4.008,0.25,2,6,43.84,43.75,44,4
8003,8037,4.008,0.25,2,6,43.5,43.7,43.5,-1
8038,8110,4.008,0.25,2,6,43.45,43.55,43.45,-1
8111,8185,4.008,0.25,2,6,43.45,43.55,43.45,-1
8186,8246,4.008,0.25,2,6,43.5,43.6,43.4,-1
8251,8298,4.008,0.25,2,6,43.5,43.6,43.4,-1
8304,8356,4.008,0.25,2,6,43.5,43.6,43.4,-1
